"Mod Name","ObjectIndex","Editor Id","Level",
"Oblivion.esm","0x014D23","AbPilgrimsGrace",9,
"Oblivion.esm","0x022A43","BSLoverKiss",7,
"Oblivion.esm","0x022A3A","BSRitualMaraGift",7,
"Oblivion.esm","0x022A63","BSSerpent",7,
"Oblivion.esm","0x022A66","BSShadowMoonshadow",7,
"Oblivion.esm","0x022A6C","BSTower",7,
"Oblivion.esm","0x0CB623","BSTowerWarden",7,
"Oblivion.esm","0x06B69D","DoomstoneAetherius",7,
"Oblivion.esm","0x06A8EE","DoomstoneApprentice",7,
"Oblivion.esm","0x06A8EF","DoomstoneAtronach",7,
"Oblivion.esm","0x06B6A3","DoomstoneDragon",7,
"Oblivion.esm","0x06B69F","DoomstoneJode",7,
"Oblivion.esm","0x06B69E","DoomstoneJone",7,
"Oblivion.esm","0x06A8F2","DoomstoneLady",7,
"Oblivion.esm","0x06A8F3","DoomstoneLord",7,
"Oblivion.esm","0x06A8F5","DoomstoneLover",7,
"Oblivion.esm","0x06A8ED","DoomstoneMage",7,
"Oblivion.esm","0x06B6A1","DoomstoneMagnus",7,
"Oblivion.esm","0x06B6B1","DoomstoneNirn",7,
"Oblivion.esm","0x06A8EC","DoomstoneRitualMarasMercy",7,
"Oblivion.esm","0x06A8EB","DoomstoneRitualMarasMilk",7,
"Oblivion.esm","0x06A8F8","DoomstoneSerpent",7,
"Oblivion.esm","0x06A8F6","DoomstoneShadow",7,
"Oblivion.esm","0x06B6A2","DoomstoneShezarr",7,
"Oblivion.esm","0x06B6A0","DoomstoneSithian",7,
"Oblivion.esm","0x06A8F1","DoomstoneSteed",7,
"Oblivion.esm","0x06A8F4","DoomstoneThief",7,
"Oblivion.esm","0x06A8F7","DoomstoneTower",7,
"Oblivion.esm","0x008E53","DoomstoneTowerArmor",7,
"Oblivion.esm","0x06A8F0","DoomstoneWarrior",7,
"Oblivion.esm","0x047AD0","PwRaceBretonShield",7,
"Oblivion.esm","0x047AD5","PwRaceDarkElfGuardian",7,
"Oblivion.esm","0x047ADE","PwRaceImperialAbsorbFatigue",7,
"Oblivion.esm","0x047ADD","PwRaceImperialCharm",7,
"Oblivion.esm","0x047ADF","PwRaceKhajiitDemoralize",7,
"Oblivion.esm","0x047AE4","PwRaceNordFrostDamage",7,
"Oblivion.esm","0x047AE3","PwRaceNordShield",7,
"Oblivion.esm","0x047AD3","PwRaceOrcBerserk",7,
"Oblivion.esm","0x047AE7","PwRaceRedguardFortify",7,
"Oblivion.esm","0x047AE9","PwRaceWoodElfCommandCreature",7,
"Oblivion.esm","0x03BEDB","VampireEmbraceofShadows",7,
"Oblivion.esm","0x03BEDC","VampireReignofTerror",7,
"Oblivion.esm","0x03BED9","VampireSeduction",7,
,,,,
"Oblivion.esm","0x08F024","SE02BlessingDementia",7,
"Oblivion.esm","0x08F023","SE02BlessingMania",7,
"Oblivion.esm","0x03161E","SE07SaintSpell",5,
"Oblivion.esm","0x03161D","SE07SeducerSpell",5,
"Oblivion.esm","0x05DD22","SE14WeatherSpell",3,
"Oblivion.esm","0x081C35","SE44Frenzy",7,
"Oblivion.esm","0x018DBD","SEPwSummonDarkSeducer",6,
"Oblivion.esm","0x014B35","SEPwSummonFleshAtronach",6,
"Oblivion.esm","0x018DBC","SEPwSummonGoldenSaint",6,
"Oblivion.esm","0x050C76","SE09PwGKHead1",3,
"Oblivion.esm","0x050C77","SE09PwGKHead2",3,
"Oblivion.esm","0x050C78","SE09PwGKHeart1",3,
"Oblivion.esm","0x050C79","SE09PwGKHeart2",3,
"Oblivion.esm","0x050C7A","SE09PwGKLeftArm1",3,
"Oblivion.esm","0x050C7B","SE09PwGKLeftArm2",3,
"Oblivion.esm","0x050C7C","SE09PwGKLeftArm3",3,
"Oblivion.esm","0x050C82","SE09PwGKLegs1",3,
"Oblivion.esm","0x050C83","SE09PwGKLegs2",3,
"Oblivion.esm","0x050C7D","SE09PwGKRightArm1",3,
"Oblivion.esm","0x050C7E","SE09PwGKRightArm2",3,
"Oblivion.esm","0x050C7F","SE09PwGKRightArm3",3,
"Oblivion.esm","0x050C80","SE09PwGKTorso1",3,
"Oblivion.esm","0x050C81","SE09PwGKTorso2",3,
"Oblivion.esm","0x08E93F","SESuicidePower",3,
,,,,
"DLCOrrery.esp","0x11DC5F","DLCOrreryPower1",7,"Masser's Might"
"DLCOrrery.esp","0x11DC60","DLCOrreryPower2",7,"Masser's Grace"
